id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
28188392,"1,5-Zimmer-Wohnung für Wiesn- oder Münchenfreunde",54031982,Jennifer,,Sendling,48.1214,11.54992,Entire home/apt,350,2,4,2019-09-29,0.13,1,178
28191164,Small house 10 minutes to fairs and center,52103438,Martina & Frank,,Ramersdorf-Perlach,48.11875,11.6301,Entire home/apt,80,21,2,2019-01-31,0.07,1,53
28192258,WIESN Oktoberfest all inkl. gesamtes Isarloft,207976963,Melanie,,Ludwigsvorstadt-Isarvorstadt,48.12328,11.56681,Entire home/apt,8000,1,4,2019-04-21,0.13,2,16
28192489,Your comfortable stay in Munich,54761312,Sophie,,Sendling,48.12169,11.54468,Private room,79,3,8,2019-10-08,0.26,1,89
28192651,Cosy and quiet room in central and trendy area,863683,Sebastian,,Au-Haidhausen,48.12408,11.58714,Private room,34,1,6,2019-12-02,0.20,1,0
28194086,Comfy flat 55 sm (qm) for 15 min to Wiesn,2524450,Frank,,Ramersdorf-Perlach,48.12082,11.6065,Entire home/apt,240,1,0,,,1,87
28194473,Kleines nettes Appartment in einer schönen Lage!!!,212847913,Cenk,,Schwabing-West,48.17194,11.56577,Entire home/apt,79,1,5,2019-05-16,0.17,1,364
28196148,"Charming, cozy flat close to the Isar",87462085,Roman,,Untergiesing-Harlaching,48.11407,11.56981,Entire home/apt,55,1,8,2019-10-09,0.26,1,0
28196263,Old city center next Viktualienmarkt,41231701,Juliane,,Altstadt-Lehel,48.13536,11.57966,Entire home/apt,454,3,5,2019-04-10,0.16,2,0
28197355,Helles ruhiges Zimmer in neuer Wohnung,72639334,Stefanie,,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.09017,11.51297,Private room,49,1,1,2019-09-23,0.05,2,0
28199936,We say welcome,41245990,Mahsa,,Ramersdorf-Perlach,48.09012,11.62699,Shared room,150,1,0,,,1,90
28213456,Schnuckeliges Apartment in der Au,8809538,Lea,,Au-Haidhausen,48.12154,11.57212,Entire home/apt,50,2,3,2019-09-09,0.10,1,83
28214098,COSY APARTMENT NEXT TO THE OKTOBERFEST,213103662,Celine,,Ludwigsvorstadt-Isarvorstadt,48.12241,11.55407,Private room,180,2,1,2018-09-30,0.03,1,362
28214390,2 Zimmer※Großzügig※Zentral※Ruhig※2 Gäste※Nähe Isar,213105983,Monika,,Untergiesing-Harlaching,48.10813,11.56829,Entire home/apt,80,2,12,2021-03-19,0.60,1,94
28214954,Munich Spacious & Comfy Camper - Oktoberfest/Wiesn,212446742,Marcela,,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.09196,11.54422,Entire home/apt,85,2,13,2019-10-06,0.42,3,270
28215433,2 Rooms in Munich 25 min to Oktoberfest,90793770,Klaus,,Allach-Untermenzing,48.19943,11.45814,Entire home/apt,250,2,1,2018-09-30,0.03,2,31
28215703,Lovely spacious flat in Schwabing-Freimann,507801,,,Schwabing-Freimann,48.19816,11.62668,Entire home/apt,87,2,4,2019-12-02,0.13,1,68
28215917,Gemütliche Wohnung am Deutschen Museum,19449080,Felix,,Au-Haidhausen,48.12859,11.5879,Entire home/apt,164,1,13,2020-02-16,0.42,1,89
28218705,Privat Zimmer mit der Küche und Wohnzimmer,41906955,Marija,,Maxvorstadt,48.15293,11.55467,Entire home/apt,160,2,5,2019-01-20,0.16,3,0
28220868,Privatzimmer im Westend für Wiesn-Bedienstete!,21744743,Katharina,,Schwanthalerhöhe,48.1359,11.54189,Private room,77,7,0,,,1,87
28221952,"Nice central 2 room flat, Munich Schwabing",213156968,Adem,,Schwabing-West,48.16101,11.56414,Entire home/apt,170,2,1,2018-10-21,0.03,1,88
28222454,Cozy room in university area Maxvorstadt,66536648,Isabell,,Maxvorstadt,48.15388,11.5674,Private room,48,2,9,2020-07-29,0.30,1,0
28234137,Stylische Unterkunft im Herzen von München,87455446,,,Maxvorstadt,48.15666,11.56475,Private room,80,1,4,2019-09-28,0.13,1,88
28234386,Einzimmerwohnung ! 3 minutes from the Oktoberfest!,128725111,Laura,,Ludwigsvorstadt-Isarvorstadt,48.13127,11.57829,Entire home/apt,216,2,1,2019-04-11,0.04,1,180
28235083,Oktoberfest (Munich) Lakeside TripleShare Glamping,176165882,Stoke,,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.09264,11.54408,Private room,300,2,0,,,10,90
28236639,Cosy room - 21 min to Oktoberfest -  2Pers,116078628,Florian,,Schwabing-Freimann,48.17623,11.5865,Private room,35,1,18,2020-03-31,0.59,1,363
28242074,Designflat170 sqm. Central. 3 bedrooms. 2 bathroom,3644621,Steph,,Untergiesing-Harlaching,48.09043,11.55182,Entire home/apt,300,2,5,2020-01-01,0.16,1,365
28247378,MAXVORSTADT - Cozy Room close to Josephsplatz U2,39231925,Gitti,,Schwabing-West,48.15825,11.56247,Private room,79,3,0,,,1,0
28267502,Bright apartment in the heart of Schwabing,213491582,Veronika,,Schwabing-West,48.15971,11.57839,Entire home/apt,116,2,15,2020-09-27,0.50,1,0
28269244,Gemütliches Souterrainzimmer im Münchner Westen,158215756,Alexandra,,Pasing-Obermenzing,48.1563,11.47882,Private room,21,1,13,2019-12-21,0.43,1,49
28272397,Munich Oktoberfest,146087904,Nadja,,Sendling,48.12381,11.53971,Private room,150,2,3,2018-10-08,0.10,1,363
28272706,Unique urban-style Apartment in City Center,213526383,André,,Ludwigsvorstadt-Isarvorstadt,48.13087,11.57465,Entire home/apt,83,1,144,2020-10-22,4.65,1,263
28279464,1 Bedroom/Bathroom,1385229,Eric,,Ludwigsvorstadt-Isarvorstadt,48.12707,11.56156,Private room,250,1,6,2019-10-05,0.20,1,362
28292801,Apartment directly linked with tram to Oktoberfest,43682433,Patrick,,Pasing-Obermenzing,48.14468,11.47753,Entire home/apt,150,1,1,2018-09-30,0.03,1,88
28298556,München Haus,21047210,Isabella,,Hadern,48.11315,11.49208,Private room,45,2,9,2019-10-06,0.29,1,363
